date,series,label,close,chg_pct
2026-05-27,NVDA,NVIDIA,212.35250854492188,
2026-05-27,^GSPC,標普500,7520.35986328125,
2026-05-27,^IXIC,那斯達克,26674.73046875,
2026-05-27,^SOX,費城半導體,12702.1904296875,
2026-05-27,^TNX,美債10年殖利率,4.480999946594238,
2026-05-28,NVDA,NVIDIA,214.00057983398438,0.7761016341909066
2026-05-28,^GSPC,標普500,7563.6298828125,0.5753716619668614
2026-05-28,^IXIC,那斯達克,26917.470703125,0.9100007014480438
2026-05-28,^SOX,費城半導體,12829.1396484375,0.9994277715542177
2026-05-28,^TNX,美債10年殖利率,4.454999923706055,-0.5802281454599156
2026-05-28,^TWII,台灣加權指數,43636.44140625,
2026-05-29,NVDA,NVIDIA,210.8942108154297,-1.4515703746992292
2026-05-29,TWD=X,美元兌台幣,31.423999786376953,
2026-05-29,^GSPC,標普500,7580.06005859375,0.21722606785117282
2026-05-29,^IXIC,那斯達克,26972.619140625,0.2048797158850313
2026-05-29,^SOX,費城半導體,12829.3798828125,0.0018725680878350914
2026-05-29,^TNX,美債10年殖利率,4.453000068664551,-0.04489012515718205
2026-05-29,^TWII,台灣加權指數,44732.94140625,2.512808021606805
2026-05-29,^VIX,VIX 恐慌指數,15.319999694824219,
2026-06-01,NVDA,NVIDIA,224.09881591796875,6.26124588791841
2026-06-01,TWD=X,美元兌台幣,31.412900924682617,-0.03531969758715503
2026-06-01,^GSPC,標普500,7599.9599609375,0.26252961308912415
2026-06-01,^IXIC,那斯達克,27086.810546875,0.4233604666074475
2026-06-01,^SOX,費城半導體,12965.650390625,1.0621753277027857
2026-06-01,^TNX,美債10年殖利率,4.474999904632568,0.494045264513443
2026-06-01,^TWII,台灣加權指數,45337.91015625,1.352401006913162
2026-06-01,^VIX,VIX 恐慌指數,16.049999237060547,4.765010161736205
2026-06-02,NVDA,NVIDIA,222.56060791015625,-0.6863972045151545
2026-06-02,TWD=X,美元兌台幣,31.33049964904785,-0.2623166699323165
2026-06-02,^GSPC,標普500,7609.77978515625,0.12920889411551784
2026-06-02,^IXIC,那斯達克,27093.900390625,0.026174524083333317
2026-06-02,^SOX,費城半導體,13726.26953125,5.866417169284288
2026-06-02,^TNX,美債10年殖利率,4.454999923706055,-0.44692695760304435
2026-06-02,^TWII,台灣加權指數,45557.30859375,0.48391828547871274
2026-06-02,^VIX,VIX 恐慌指數,15.770000457763672,-1.7445407639044563
2026-06-03,NVDA,NVIDIA,214.5,-3.6217585788632323
2026-06-03,TWD=X,美元兌台幣,31.478200912475586,0.47142964549633515
2026-06-03,^GSPC,標普500,7553.68017578125,-0.7372041104846239
2026-06-03,^IXIC,那斯達克,26853.98046875,-0.8855126741294739
2026-06-03,^SOX,費城半導體,13916.9599609375,1.3892371066542397
2026-06-03,^TNX,美債10年殖利率,4.491000175476074,0.808086473323022
2026-06-03,^TWII,台灣加權指數,46459.16015625,1.9795979840295574
2026-06-03,^VIX,VIX 恐慌指數,16.059999465942383,1.838928343441748
2026-06-04,NVDA,NVIDIA,218.66000366210938,1.9393956466710272
2026-06-04,TWD=X,美元兌台幣,31.50550079345703,0.08672630642823087
2026-06-04,^GSPC,標普500,7584.31005859375,0.4054961568363158
2026-06-04,^IXIC,那斯達克,26830.9609375,-0.08572111414465455
2026-06-04,^SOX,費城半導體,13617.5,-2.1517627540643347
2026-06-04,^TNX,美債10年殖利率,4.4770002365112305,-0.31173320903643553
2026-06-04,^TWII,台灣加權指數,45677.4609375,-1.682551333517468
2026-06-04,^VIX,VIX 恐慌指數,15.399999618530273,-4.109588227644323
2026-06-05,NVDA,NVIDIA,205.10000610351562,-6.2014073591381225
2026-06-05,TWD=X,美元兌台幣,31.503000259399414,-0.007936817364084803
2026-06-05,^GSPC,標普500,7383.740234375,-2.6445361894386843
2026-06-05,^IXIC,那斯達克,25709.4296875,-4.179989127532524
2026-06-05,^SOX,費城半導體,12220.759765625,-10.256950500275385
2026-06-05,^TNX,美債10年殖利率,4.535999774932861,1.317836392780869
2026-06-05,^TWII,台灣加權指數,45070.94140625,-1.3278310983176
2026-06-05,^VIX,VIX 恐慌指數,21.510000228881836,39.67532962143463
2026-06-08,NVDA,NVIDIA,208.63999938964844,1.7259839984335112
2026-06-08,TWD=X,美元兌台幣,31.58810043334961,0.2701335531519966
2026-06-08,^GSPC,標普500,7405.72998046875,0.29781310549599205
2026-06-08,^IXIC,那斯達克,25929.66015625,0.8566135905265782
2026-06-08,^SOX,費城半導體,12906.6904296875,5.612831585086142
2026-06-08,^TNX,美債10年殖利率,4.552000045776367,0.35273967454600985
2026-06-08,^TWII,台灣加權指數,43502.78125,-3.4793152912322878
2026-06-08,^VIX,VIX 恐慌指數,18.920000076293945,-12.040911785348351
2026-06-09,NVDA,NVIDIA,208.19000244140625,-0.21568105327770537
2026-06-09,TWD=X,美元兌台幣,31.582000732421875,-0.01931012262229581
2026-06-09,^GSPC,標普500,7386.64990234375,-0.25763939780845124
2026-06-09,^IXIC,那斯達克,25678.8203125,-0.9673857745857828
2026-06-09,^SOX,費城半導體,12657.8095703125,-1.9283088932119496
2026-06-09,^TNX,美債10年殖利率,4.5279998779296875,-0.5272444553015454
2026-06-09,^TWII,台灣加權指數,44704.44140625,2.7622605307562997
2026-06-09,^VIX,VIX 恐慌指數,19.8700008392334,5.021145661250648
